output,species,iteration,value
y_hat_test,Ammonium-N,0,0.06087792357472668
y_hat_test,Ammonium-N,0,0.03872874995315188
y_hat_test,Ammonium-N,0,0.04210371542446626
y_hat_test,Ammonium-N,0,0.03324598265297837
y_hat_test,Ammonium-N,0,0.08001552619409516
y_hat_test,Ammonium-N,0,0.03834261015974554
y_hat_test,Ammonium-N,0,0.04010038193782854
y_hat_test,Ammonium-N,0,0.053513703273706095
y_hat_test,Ammonium-N,0,0.04605239801562697
y_hat_test,Ammonium-N,0,0.04393920065926572
y_hat_test,Ammonium-N,0,0.03564208886615426
y_hat_test,Ammonium-N,0,0.0367956759730831
y_hat_test,Ammonium-N,0,0.04888321103982222
y_hat_test,Ammonium-N,0,0.0482265569274594
y_hat_test,Ammonium-N,0,0.03482473264704583
y_hat_test,Ammonium-N,0,0.036253608032911985
y_hat_test,Ammonium-N,0,0.04290411076776727
y_hat_test,Ammonium-N,0,0.03353365059883106
y_hat_train,Ammonium-N,0,0.0445075042259649
y_hat_train,Ammonium-N,0,0.03216002046122393
y_hat_train,Ammonium-N,0,0.03430659509527452
y_hat_train,Ammonium-N,0,0.0368933341644846
y_hat_train,Ammonium-N,0,0.04802122763099131
y_hat_train,Ammonium-N,0,0.046590110387788285
y_hat_train,Ammonium-N,0,0.037661767351742086
y_hat_train,Ammonium-N,0,0.03126225653201549
y_hat_train,Ammonium-N,0,0.03914218503468801
y_hat_train,Ammonium-N,0,0.05268634056715585
y_hat_train,Ammonium-N,0,0.05366500836914172
y_hat_train,Ammonium-N,0,0.031846940591948425
y_hat_train,Ammonium-N,0,0.03989693725724701
y_hat_train,Ammonium-N,0,0.03925369090661592
y_hat_train,Ammonium-N,0,0.0382452629511455
y_hat_train,Ammonium-N,0,0.04121613139313938
y_hat_train,Ammonium-N,0,0.03424649745475624
y_hat_train,Ammonium-N,0,0.07444247731606063
y_hat_train,Ammonium-N,0,0.04304109983015014
y_hat_train,Ammonium-N,0,0.06929068273681108
y_hat_train,Ammonium-N,0,0.05074534507150682
y_hat_train,Ammonium-N,0,0.024890270375722306
y_hat_train,Ammonium-N,0,0.04073033185743204
y_hat_train,Ammonium-N,0,0.0476706385601553
y_hat_train,Ammonium-N,0,0.05170133487046719
y_hat_train,Ammonium-N,0,0.038939358078018196
y_hat_train,Ammonium-N,0,0.07759501520292522
y_hat_train,Ammonium-N,0,0.05773795764609822
y_hat_train,Ammonium-N,0,0.08369303905470557
y_hat_train,Ammonium-N,0,0.049201269552685785
y_hat_train,Ammonium-N,0,0.033766290002821484
y_hat_train,Ammonium-N,0,0.04257009107122583
y_hat_train,Ammonium-N,0,0.05191651428029588
y_hat_train,Ammonium-N,0,0.0754106396274193
y_hat_train,Ammonium-N,0,0.04260632004715971
y_hat_train,Ammonium-N,0,0.033476067981477675
y_hat_train,Ammonium-N,0,0.03315302162770545
y_hat_train,Ammonium-N,0,0.04449985846042867
y_hat_train,Ammonium-N,0,0.04931018737340439
y_true_train,Ammonium-N,0,0.044766667
y_true_train,Ammonium-N,0,0.01610167
y_true_train,Ammonium-N,0,0.0377
y_true_train,Ammonium-N,0,0.042033333
y_true_train,Ammonium-N,0,0.011766667
y_true_train,Ammonium-N,0,0.026887548
y_true_train,Ammonium-N,0,0.0191
y_true_train,Ammonium-N,0,0.007133357
y_true_train,Ammonium-N,0,0.0235
y_true_train,Ammonium-N,0,0.001266667
y_true_train,Ammonium-N,0,0.0673
y_true_train,Ammonium-N,0,0.013835059
y_true_train,Ammonium-N,0,0.0301
y_true_train,Ammonium-N,0,0.0134
y_true_train,Ammonium-N,0,0.042333333
y_true_train,Ammonium-N,0,0.023441081
y_true_train,Ammonium-N,0,0.0175
y_true_train,Ammonium-N,0,0.0184
y_true_train,Ammonium-N,0,0.007166791
y_true_train,Ammonium-N,0,0.011533333
y_true_train,Ammonium-N,0,0.010354731
y_true_train,Ammonium-N,0,0.007646588
y_true_train,Ammonium-N,0,0.044766667
y_true_train,Ammonium-N,0,0.11883142
y_true_train,Ammonium-N,0,0.011876873
y_true_train,Ammonium-N,0,0.041933333
y_true_train,Ammonium-N,0,0.139659083
y_true_train,Ammonium-N,0,0.270233333
y_true_train,Ammonium-N,0,0.013333333
y_true_train,Ammonium-N,0,0.012937725
y_true_train,Ammonium-N,0,0.0148
y_true_train,Ammonium-N,0,0.035133333
y_true_train,Ammonium-N,0,0.004
y_true_train,Ammonium-N,0,0.103817696
